relative_path,filename,task,split,index,tumor_code,tumor_label,plane_code,plane_label,sequence,is_mask,linked_image,width,height,file_size_bytes,sha256,aspect_ratio,is_square
classification_task\test\pituitary\brisc2025_test_00737_pi_ax_t1.jpg,brisc2025_test_00737_pi_ax_t1.jpg,classification,test,737,pi,pituitary,ax,axial,T1,False,,512,512,26863,39f4f7b252d7809d8d3d2e4521607de2195bf0f66c0592587b1cebd632aac640,1.0,True
classification_task\test\pituitary\brisc2025_test_00751_pi_ax_t1.jpg,brisc2025_test_00751_pi_ax_t1.jpg,classification,test,751,pi,pituitary,ax,axial,T1,False,,512,512,32517,08690b76457b2b44d58682cece62ec951ef6d30d935ce07df852e97d44434680,1.0,True
classification_task\test\pituitary\brisc2025_test_00825_pi_co_t1.jpg,brisc2025_test_00825_pi_co_t1.jpg,classification,test,825,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\test\pituitary\brisc2025_test_00827_pi_co_t1.jpg,brisc2025_test_00827_pi_co_t1.jpg,classification,test,827,pi,pituitary,co,coronal,T1,False,,512,512,34743,02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,1.0,True
classification_task\test\pituitary\brisc2025_test_00834_pi_co_t1.jpg,brisc2025_test_00834_pi_co_t1.jpg,classification,test,834,pi,pituitary,co,coronal,T1,False,,512,512,36127,b5e17076d1427e41a618f92bc72100c1be4df26608223512aac51c911ac1eb88,1.0,True
classification_task\train\meningioma\brisc2025_train_01210_me_ax_t1.jpg,brisc2025_train_01210_me_ax_t1.jpg,classification,train,1210,me,meningioma,ax,axial,T1,False,,512,512,17877,960155b05ea8f0ddcbcd3a5e29905c2a4b55832f03e5b7d6491c73955960d278,1.0,True
classification_task\train\meningioma\brisc2025_train_01237_me_ax_t1.jpg,brisc2025_train_01237_me_ax_t1.jpg,classification,train,1237,me,meningioma,ax,axial,T1,False,,512,512,22957,622644677145b5202656ca1d281cc6680c12f440a077e4af7f5e85493a1b890f,1.0,True
classification_task\train\meningioma\brisc2025_train_01238_me_ax_t1.jpg,brisc2025_train_01238_me_ax_t1.jpg,classification,train,1238,me,meningioma,ax,axial,T1,False,,512,512,23088,1105b29d6d5b9c2a3c59314b8fc63c661df43e488beb0d996a1bea7079643b42,1.0,True
classification_task\train\meningioma\brisc2025_train_01239_me_ax_t1.jpg,brisc2025_train_01239_me_ax_t1.jpg,classification,train,1239,me,meningioma,ax,axial,T1,False,,512,512,21920,b53353cf2ca67b3a2cfc03843a14a774c08257de9a0f44f016f3c6650955a619,1.0,True
classification_task\train\meningioma\brisc2025_train_01240_me_ax_t1.jpg,brisc2025_train_01240_me_ax_t1.jpg,classification,train,1240,me,meningioma,ax,axial,T1,False,,512,512,21663,a75f3d6a34ffafc4fb88ae4bbd95408fbe07bae9404dcb2931fd9b557f786762,1.0,True
classification_task\train\meningioma\brisc2025_train_01246_me_ax_t1.jpg,brisc2025_train_01246_me_ax_t1.jpg,classification,train,1246,me,meningioma,ax,axial,T1,False,,213,237,8707,4951f7ba2e002020c835b3f50136c3249f3ae004624b35a262e65dd431d70e56,0.8987341772151899,False
classification_task\train\meningioma\brisc2025_train_01247_me_ax_t1.jpg,brisc2025_train_01247_me_ax_t1.jpg,classification,train,1247,me,meningioma,ax,axial,T1,False,,455,500,26281,24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,0.91,False
classification_task\train\meningioma\brisc2025_train_01251_me_ax_t1.jpg,brisc2025_train_01251_me_ax_t1.jpg,classification,train,1251,me,meningioma,ax,axial,T1,False,,485,510,71845,2c8be230a33c267864fdce27d56db309cd612981d9bb68b2b3ce9b8f18e57c31,0.9509803921568627,False
classification_task\train\meningioma\brisc2025_train_01268_me_ax_t1.jpg,brisc2025_train_01268_me_ax_t1.jpg,classification,train,1268,me,meningioma,ax,axial,T1,False,,455,500,26281,24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,0.91,False
classification_task\train\meningioma\brisc2025_train_01276_me_ax_t1.jpg,brisc2025_train_01276_me_ax_t1.jpg,classification,train,1276,me,meningioma,ax,axial,T1,False,,512,512,21706,09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,1.0,True
classification_task\train\meningioma\brisc2025_train_01277_me_ax_t1.jpg,brisc2025_train_01277_me_ax_t1.jpg,classification,train,1277,me,meningioma,ax,axial,T1,False,,512,512,21706,09b9031e30e757eb6e648686f0ca412357e86895ebbc52d300d2d0a9305fd417,1.0,True
classification_task\train\meningioma\brisc2025_train_01302_me_ax_t1.jpg,brisc2025_train_01302_me_ax_t1.jpg,classification,train,1302,me,meningioma,ax,axial,T1,False,,213,237,8707,4951f7ba2e002020c835b3f50136c3249f3ae004624b35a262e65dd431d70e56,0.8987341772151899,False
classification_task\train\meningioma\brisc2025_train_01304_me_ax_t1.jpg,brisc2025_train_01304_me_ax_t1.jpg,classification,train,1304,me,meningioma,ax,axial,T1,False,,201,251,9501,f3d00bbb942117c2fb62466414d3c466ca283b678200fe87424e4128b80b2dba,0.8007968127490039,False
classification_task\train\meningioma\brisc2025_train_01386_me_ax_t1.jpg,brisc2025_train_01386_me_ax_t1.jpg,classification,train,1386,me,meningioma,ax,axial,T1,False,,455,500,26281,24f09f91af40e42f2798bbc29df353ce17e6a0c0b533fb923b2fa8f75df6b496,0.91,False
classification_task\train\meningioma\brisc2025_train_01442_me_ax_t1.jpg,brisc2025_train_01442_me_ax_t1.jpg,classification,train,1442,me,meningioma,ax,axial,T1,False,,512,512,18201,db01a452cd2bc8950a03e6ea270b6b20e439fde923c9a2cd30b212f3443b698b,1.0,True
classification_task\train\meningioma\brisc2025_train_01456_me_ax_t1.jpg,brisc2025_train_01456_me_ax_t1.jpg,classification,train,1456,me,meningioma,ax,axial,T1,False,,512,512,14382,e2a955142f1b608205f3bc0ef078d801a644682d608e894950e2d1d85b543e75,1.0,True
classification_task\train\meningioma\brisc2025_train_01460_me_ax_t1.jpg,brisc2025_train_01460_me_ax_t1.jpg,classification,train,1460,me,meningioma,ax,axial,T1,False,,512,512,18811,6850de4414799ffeff8453156b05e59049870b1e0801f956558ca825482a3a13,1.0,True
classification_task\train\meningioma\brisc2025_train_01467_me_ax_t1.jpg,brisc2025_train_01467_me_ax_t1.jpg,classification,train,1467,me,meningioma,ax,axial,T1,False,,512,512,17377,d8934847ee16e6194ed30b5ba09727b530eaade5f8660632f768619a525a5bbd,1.0,True
classification_task\train\meningioma\brisc2025_train_01469_me_ax_t1.jpg,brisc2025_train_01469_me_ax_t1.jpg,classification,train,1469,me,meningioma,ax,axial,T1,False,,512,512,23139,aa050bde7cc73aaa0e59adc79f95ba3018346d444340ae65aef92add28224323,1.0,True
classification_task\train\meningioma\brisc2025_train_01571_me_co_t1.jpg,brisc2025_train_01571_me_co_t1.jpg,classification,train,1571,me,meningioma,co,coronal,T1,False,,512,512,22691,fce25282f9c298280721e6608db8dd49289984e7004b61c4dd142d442735ecce,1.0,True
classification_task\train\meningioma\brisc2025_train_01648_me_co_t1.jpg,brisc2025_train_01648_me_co_t1.jpg,classification,train,1648,me,meningioma,co,coronal,T1,False,,512,512,22957,622644677145b5202656ca1d281cc6680c12f440a077e4af7f5e85493a1b890f,1.0,True
classification_task\train\meningioma\brisc2025_train_01649_me_co_t1.jpg,brisc2025_train_01649_me_co_t1.jpg,classification,train,1649,me,meningioma,co,coronal,T1,False,,512,512,23088,1105b29d6d5b9c2a3c59314b8fc63c661df43e488beb0d996a1bea7079643b42,1.0,True
classification_task\train\meningioma\brisc2025_train_01650_me_co_t1.jpg,brisc2025_train_01650_me_co_t1.jpg,classification,train,1650,me,meningioma,co,coronal,T1,False,,512,512,21920,b53353cf2ca67b3a2cfc03843a14a774c08257de9a0f44f016f3c6650955a619,1.0,True
classification_task\train\meningioma\brisc2025_train_01651_me_co_t1.jpg,brisc2025_train_01651_me_co_t1.jpg,classification,train,1651,me,meningioma,co,coronal,T1,False,,512,512,21663,a75f3d6a34ffafc4fb88ae4bbd95408fbe07bae9404dcb2931fd9b557f786762,1.0,True
classification_task\train\meningioma\brisc2025_train_01652_me_co_t1.jpg,brisc2025_train_01652_me_co_t1.jpg,classification,train,1652,me,meningioma,co,coronal,T1,False,,485,510,71845,2c8be230a33c267864fdce27d56db309cd612981d9bb68b2b3ce9b8f18e57c31,0.9509803921568627,False
classification_task\train\meningioma\brisc2025_train_01667_me_co_t1.jpg,brisc2025_train_01667_me_co_t1.jpg,classification,train,1667,me,meningioma,co,coronal,T1,False,,341,395,25923,e2c7bc9c2d735e5b584b329f5cda1aec1f2415b2972c4aa8efc8d0a61e61b280,0.8632911392405064,False
classification_task\train\meningioma\brisc2025_train_01668_me_co_t1.jpg,brisc2025_train_01668_me_co_t1.jpg,classification,train,1668,me,meningioma,co,coronal,T1,False,,341,395,25923,e2c7bc9c2d735e5b584b329f5cda1aec1f2415b2972c4aa8efc8d0a61e61b280,0.8632911392405064,False
classification_task\train\meningioma\brisc2025_train_01887_me_co_t1.jpg,brisc2025_train_01887_me_co_t1.jpg,classification,train,1887,me,meningioma,co,coronal,T1,False,,512,512,18201,db01a452cd2bc8950a03e6ea270b6b20e439fde923c9a2cd30b212f3443b698b,1.0,True
classification_task\train\meningioma\brisc2025_train_01997_me_sa_t1.jpg,brisc2025_train_01997_me_sa_t1.jpg,classification,train,1997,me,meningioma,sa,sagittal,T1,False,,512,512,22691,fce25282f9c298280721e6608db8dd49289984e7004b61c4dd142d442735ecce,1.0,True
classification_task\train\meningioma\brisc2025_train_02099_me_sa_t1.jpg,brisc2025_train_02099_me_sa_t1.jpg,classification,train,2099,me,meningioma,sa,sagittal,T1,False,,512,512,28082,451f339dbf4d33864e0dd8940f533bbeddda6492cf60bb15615342bd467cc721,1.0,True
classification_task\train\meningioma\brisc2025_train_02100_me_sa_t1.jpg,brisc2025_train_02100_me_sa_t1.jpg,classification,train,2100,me,meningioma,sa,sagittal,T1,False,,512,512,28082,451f339dbf4d33864e0dd8940f533bbeddda6492cf60bb15615342bd467cc721,1.0,True
classification_task\train\meningioma\brisc2025_train_02286_me_sa_t1.jpg,brisc2025_train_02286_me_sa_t1.jpg,classification,train,2286,me,meningioma,sa,sagittal,T1,False,,512,512,14382,e2a955142f1b608205f3bc0ef078d801a644682d608e894950e2d1d85b543e75,1.0,True
classification_task\train\meningioma\brisc2025_train_02310_me_sa_t1.jpg,brisc2025_train_02310_me_sa_t1.jpg,classification,train,2310,me,meningioma,sa,sagittal,T1,False,,512,512,18811,6850de4414799ffeff8453156b05e59049870b1e0801f956558ca825482a3a13,1.0,True
classification_task\train\meningioma\brisc2025_train_02365_me_sa_t1.jpg,brisc2025_train_02365_me_sa_t1.jpg,classification,train,2365,me,meningioma,sa,sagittal,T1,False,,512,512,17377,d8934847ee16e6194ed30b5ba09727b530eaade5f8660632f768619a525a5bbd,1.0,True
classification_task\train\meningioma\brisc2025_train_02394_me_sa_t1.jpg,brisc2025_train_02394_me_sa_t1.jpg,classification,train,2394,me,meningioma,sa,sagittal,T1,False,,512,512,23139,aa050bde7cc73aaa0e59adc79f95ba3018346d444340ae65aef92add28224323,1.0,True
classification_task\train\no_tumor\brisc2025_train_03467_no_sa_t1.jpg,brisc2025_train_03467_no_sa_t1.jpg,classification,train,3467,no,no_tumor,sa,sagittal,T1,False,,236,236,16916,e44e359eed2a16c1262d6b43d709bc29abd1d8d435afa03a8f975629a07676e6,1.0,True
classification_task\train\no_tumor\brisc2025_train_03470_no_sa_t1.jpg,brisc2025_train_03470_no_sa_t1.jpg,classification,train,3470,no,no_tumor,sa,sagittal,T1,False,,233,218,18754,e0469797181b80d7dbc8d52ad3bd187ed938065ff6d85a25c73eb8c0d0bae700,1.0688073394495412,False
classification_task\train\no_tumor\brisc2025_train_03471_no_sa_t1.jpg,brisc2025_train_03471_no_sa_t1.jpg,classification,train,3471,no,no_tumor,sa,sagittal,T1,False,,236,236,17506,1e1a27e88f2812b4b950fca09bf5f4b8fe20514826756ac69b37b43c0c73214b,1.0,True
classification_task\train\no_tumor\brisc2025_train_03472_no_sa_t1.jpg,brisc2025_train_03472_no_sa_t1.jpg,classification,train,3472,no,no_tumor,sa,sagittal,T1,False,,200,210,16792,6eb81fdade7fe9fd565c5e71c5ae80afdae447935f0ac443ca1d1b9d8cb0909e,0.9523809523809523,False
classification_task\train\no_tumor\brisc2025_train_03475_no_sa_t1.jpg,brisc2025_train_03475_no_sa_t1.jpg,classification,train,3475,no,no_tumor,sa,sagittal,T1,False,,256,256,19742,092a6997f62fdbaa2bc49469a827ef799ebd70cc75d1b0bf8466c5054241905b,1.0,True
classification_task\train\no_tumor\brisc2025_train_03477_no_sa_t1.jpg,brisc2025_train_03477_no_sa_t1.jpg,classification,train,3477,no,no_tumor,sa,sagittal,T1,False,,225,225,17015,1139856fed19589e9f95b7c059324c88a0e77baed54e8e726d496b2cc84b0c8e,1.0,True
classification_task\train\no_tumor\brisc2025_train_03478_no_sa_t1.jpg,brisc2025_train_03478_no_sa_t1.jpg,classification,train,3478,no,no_tumor,sa,sagittal,T1,False,,733,781,88963,66e52289dbb20ebe544be658dbc1345e18f031967fe6f972bfb91dd8a39d48cb,0.93854033290653,False
classification_task\train\no_tumor\brisc2025_train_03482_no_sa_t1.jpg,brisc2025_train_03482_no_sa_t1.jpg,classification,train,3482,no,no_tumor,sa,sagittal,T1,False,,236,236,16529,8e69d582e948d4bdf753ad925311df27bab28db64ba2ee766d5e595cf95cd329,1.0,True
classification_task\train\no_tumor\brisc2025_train_03486_no_sa_t1.jpg,brisc2025_train_03486_no_sa_t1.jpg,classification,train,3486,no,no_tumor,sa,sagittal,T1,False,,236,236,16529,8e69d582e948d4bdf753ad925311df27bab28db64ba2ee766d5e595cf95cd329,1.0,True
classification_task\train\no_tumor\brisc2025_train_03487_no_sa_t1.jpg,brisc2025_train_03487_no_sa_t1.jpg,classification,train,3487,no,no_tumor,sa,sagittal,T1,False,,256,256,19742,092a6997f62fdbaa2bc49469a827ef799ebd70cc75d1b0bf8466c5054241905b,1.0,True
classification_task\train\no_tumor\brisc2025_train_03489_no_sa_t1.jpg,brisc2025_train_03489_no_sa_t1.jpg,classification,train,3489,no,no_tumor,sa,sagittal,T1,False,,236,269,20545,25dbc9664f03a7af82b74aec6c5497cd94dc5f6f639907656725d0ac88cfd111,0.8773234200743495,False
classification_task\train\no_tumor\brisc2025_train_03491_no_sa_t1.jpg,brisc2025_train_03491_no_sa_t1.jpg,classification,train,3491,no,no_tumor,sa,sagittal,T1,False,,233,218,18754,e0469797181b80d7dbc8d52ad3bd187ed938065ff6d85a25c73eb8c0d0bae700,1.0688073394495412,False
classification_task\train\no_tumor\brisc2025_train_03492_no_sa_t1.jpg,brisc2025_train_03492_no_sa_t1.jpg,classification,train,3492,no,no_tumor,sa,sagittal,T1,False,,733,781,88963,66e52289dbb20ebe544be658dbc1345e18f031967fe6f972bfb91dd8a39d48cb,0.93854033290653,False
classification_task\train\no_tumor\brisc2025_train_03493_no_sa_t1.jpg,brisc2025_train_03493_no_sa_t1.jpg,classification,train,3493,no,no_tumor,sa,sagittal,T1,False,,225,225,17015,1139856fed19589e9f95b7c059324c88a0e77baed54e8e726d496b2cc84b0c8e,1.0,True
classification_task\train\no_tumor\brisc2025_train_03495_no_sa_t1.jpg,brisc2025_train_03495_no_sa_t1.jpg,classification,train,3495,no,no_tumor,sa,sagittal,T1,False,,236,236,17506,1e1a27e88f2812b4b950fca09bf5f4b8fe20514826756ac69b37b43c0c73214b,1.0,True
classification_task\train\no_tumor\brisc2025_train_03496_no_sa_t1.jpg,brisc2025_train_03496_no_sa_t1.jpg,classification,train,3496,no,no_tumor,sa,sagittal,T1,False,,200,210,16792,6eb81fdade7fe9fd565c5e71c5ae80afdae447935f0ac443ca1d1b9d8cb0909e,0.9523809523809523,False
classification_task\train\no_tumor\brisc2025_train_03497_no_sa_t1.jpg,brisc2025_train_03497_no_sa_t1.jpg,classification,train,3497,no,no_tumor,sa,sagittal,T1,False,,236,269,20545,25dbc9664f03a7af82b74aec6c5497cd94dc5f6f639907656725d0ac88cfd111,0.8773234200743495,False
classification_task\train\no_tumor\brisc2025_train_03502_no_sa_t1.jpg,brisc2025_train_03502_no_sa_t1.jpg,classification,train,3502,no,no_tumor,sa,sagittal,T1,False,,236,236,16916,e44e359eed2a16c1262d6b43d709bc29abd1d8d435afa03a8f975629a07676e6,1.0,True
classification_task\train\pituitary\brisc2025_train_03705_pi_ax_t1.jpg,brisc2025_train_03705_pi_ax_t1.jpg,classification,train,3705,pi,pituitary,ax,axial,T1,False,,512,512,26863,39f4f7b252d7809d8d3d2e4521607de2195bf0f66c0592587b1cebd632aac640,1.0,True
classification_task\train\pituitary\brisc2025_train_03749_pi_ax_t1.jpg,brisc2025_train_03749_pi_ax_t1.jpg,classification,train,3749,pi,pituitary,ax,axial,T1,False,,512,512,32517,08690b76457b2b44d58682cece62ec951ef6d30d935ce07df852e97d44434680,1.0,True
classification_task\train\pituitary\brisc2025_train_03994_pi_co_t1.jpg,brisc2025_train_03994_pi_co_t1.jpg,classification,train,3994,pi,pituitary,co,coronal,T1,False,,512,512,34353,6c374ab41105e5927d08e15103c8c27416f8e7d03c15c03d104ace5b310bd0ed,1.0,True
classification_task\train\pituitary\brisc2025_train_03995_pi_co_t1.jpg,brisc2025_train_03995_pi_co_t1.jpg,classification,train,3995,pi,pituitary,co,coronal,T1,False,,512,512,34353,6c374ab41105e5927d08e15103c8c27416f8e7d03c15c03d104ace5b310bd0ed,1.0,True
classification_task\train\pituitary\brisc2025_train_04070_pi_co_t1.jpg,brisc2025_train_04070_pi_co_t1.jpg,classification,train,4070,pi,pituitary,co,coronal,T1,False,,512,512,33561,8e2b4a6d3ce98d740a636942e40c14783eac078cf1758678c9d5aee948057aa7,1.0,True
classification_task\train\pituitary\brisc2025_train_04071_pi_co_t1.jpg,brisc2025_train_04071_pi_co_t1.jpg,classification,train,4071,pi,pituitary,co,coronal,T1,False,,512,512,33561,8e2b4a6d3ce98d740a636942e40c14783eac078cf1758678c9d5aee948057aa7,1.0,True
classification_task\train\pituitary\brisc2025_train_04176_pi_co_t1.jpg,brisc2025_train_04176_pi_co_t1.jpg,classification,train,4176,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\train\pituitary\brisc2025_train_04177_pi_co_t1.jpg,brisc2025_train_04177_pi_co_t1.jpg,classification,train,4177,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\train\pituitary\brisc2025_train_04178_pi_co_t1.jpg,brisc2025_train_04178_pi_co_t1.jpg,classification,train,4178,pi,pituitary,co,coronal,T1,False,,512,512,34172,3e802dd22f483ce4d442fe2c7f1890c1c810ec8c1131b364fd4e4593bf0f268a,1.0,True
classification_task\train\pituitary\brisc2025_train_04194_pi_co_t1.jpg,brisc2025_train_04194_pi_co_t1.jpg,classification,train,4194,pi,pituitary,co,coronal,T1,False,,512,512,34743,02799f7863d49de182357e72179f3cc4e65e70099355f2d5aa2e39d356e492d9,1.0,True
classification_task\train\pituitary\brisc2025_train_04201_pi_co_t1.jpg,brisc2025_train_04201_pi_co_t1.jpg,classification,train,4201,pi,pituitary,co,coronal,T1,False,,512,512,34335,690ed9d73b96706b833cfbb95e40543fe022c7579ab74693873e2c26766c5efb,1.0,True
classification_task\train\pituitary\brisc2025_train_04202_pi_co_t1.jpg,brisc2025_train_04202_pi_co_t1.jpg,classification,train,4202,pi,pituitary,co,coronal,T1,False,,512,512,34335,690ed9d73b96706b833cfbb95e40543fe022c7579ab74693873e2c26766c5efb,1.0,True
classification_task\train\pituitary\brisc2025_train_04218_pi_co_t1.jpg,brisc2025_train_04218_pi_co_t1.jpg,classification,train,4218,pi,pituitary,co,coronal,T1,False,,512,512,36127,b5e17076d1427e41a618f92bc72100c1be4df26608223512aac51c911ac1eb88,1.0,True
classification_task\train\pituitary\brisc2025_train_04494_pi_sa_t1.jpg,brisc2025_train_04494_pi_sa_t1.jpg,classification,train,4494,pi,pituitary,sa,sagittal,T1,False,,512,512,39045,c27c953b150b8cfa6c2820bac42a13a5d1b5b6420409973ba07a18542429afd5,1.0,True
classification_task\train\pituitary\brisc2025_train_04550_pi_sa_t1.jpg,brisc2025_train_04550_pi_sa_t1.jpg,classification,train,4550,pi,pituitary,sa,sagittal,T1,False,,512,512,33614,dea65808e631f46024aaa034984629ab8a455f2b951ca7022f12fa9e62b7c8ff,1.0,True
classification_task\train\pituitary\brisc2025_train_04551_pi_sa_t1.jpg,brisc2025_train_04551_pi_sa_t1.jpg,classification,train,4551,pi,pituitary,sa,sagittal,T1,False,,512,512,33614,dea65808e631f46024aaa034984629ab8a455f2b951ca7022f12fa9e62b7c8ff,1.0,True
classification_task\train\pituitary\brisc2025_train_04594_pi_sa_t1.jpg,brisc2025_train_04594_pi_sa_t1.jpg,classification,train,4594,pi,pituitary,sa,sagittal,T1,False,,512,512,39045,c27c953b150b8cfa6c2820bac42a13a5d1b5b6420409973ba07a18542429afd5,1.0,True
classification_task\train\pituitary\brisc2025_train_04596_pi_sa_t1.jpg,brisc2025_train_04596_pi_sa_t1.jpg,classification,train,4596,pi,pituitary,sa,sagittal,T1,False,,512,512,37026,8a4a14e666a67b90bf01bac1b85170bacf41fda33c7a7394d5e82e83c6f6f324,1.0,True
classification_task\train\pituitary\brisc2025_train_04597_pi_sa_t1.jpg,brisc2025_train_04597_pi_sa_t1.jpg,classification,train,4597,pi,pituitary,sa,sagittal,T1,False,,512,512,37026,8a4a14e666a67b90bf01bac1b85170bacf41fda33c7a7394d5e82e83c6f6f324,1.0,True
classification_task\train\pituitary\brisc2025_train_04647_pi_sa_t1.jpg,brisc2025_train_04647_pi_sa_t1.jpg,classification,train,4647,pi,pituitary,sa,sagittal,T1,False,,512,512,30598,a1ee82164acd190067400d50f236fbb6004c0002fe3c09e4cf2d71752865140b,1.0,True
classification_task\train\pituitary\brisc2025_train_04648_pi_sa_t1.jpg,brisc2025_train_04648_pi_sa_t1.jpg,classification,train,4648,pi,pituitary,sa,sagittal,T1,False,,512,512,30598,a1ee82164acd190067400d50f236fbb6004c0002fe3c09e4cf2d71752865140b,1.0,True
classification_task\train\pituitary\brisc2025_train_04676_pi_sa_t1.jpg,brisc2025_train_04676_pi_sa_t1.jpg,classification,train,4676,pi,pituitary,sa,sagittal,T1,False,,512,512,35906,8afa71fed3d0307237b24872056b750f3c06ee0d9527c35241b908eb7404080f,1.0,True
classification_task\train\pituitary\brisc2025_train_04677_pi_sa_t1.jpg,brisc2025_train_04677_pi_sa_t1.jpg,classification,train,4677,pi,pituitary,sa,sagittal,T1,False,,512,512,35906,8afa71fed3d0307237b24872056b750f3c06ee0d9527c35241b908eb7404080f,1.0,True
classification_task\train\pituitary\brisc2025_train_04741_pi_sa_t1.jpg,brisc2025_train_04741_pi_sa_t1.jpg,classification,train,4741,pi,pituitary,sa,sagittal,T1,False,,512,512,32090,7d0738e4f6493b449e20a147b80f674c589dc478dd6b5ccd4fb6ea1c329f0cfe,1.0,True
classification_task\train\pituitary\brisc2025_train_04742_pi_sa_t1.jpg,brisc2025_train_04742_pi_sa_t1.jpg,classification,train,4742,pi,pituitary,sa,sagittal,T1,False,,512,512,32090,7d0738e4f6493b449e20a147b80f674c589dc478dd6b5ccd4fb6ea1c329f0cfe,1.0,True
classification_task\train\pituitary\brisc2025_train_04743_pi_sa_t1.jpg,brisc2025_train_04743_pi_sa_t1.jpg,classification,train,4743,pi,pituitary,sa,sagittal,T1,False,,512,512,32090,7d0738e4f6493b449e20a147b80f674c589dc478dd6b5ccd4fb6ea1c329f0cfe,1.0,True
